T I M E   A N D   N O D A L   P O S I T I O N   D A T A 

       TIME       NODE NUMBER             POSITION
                                   X          Y          Z
       0.980           1           0.000    10.000     0.000
       0.980           2          10.000    10.000     0.000
       0.980           3          20.000    10.000     0.000
       0.980           4          30.006     9.055     0.000
       0.980           5          30.000    -0.018     0.000
       0.980           6          19.996    -0.004     0.000
       0.980           7          10.000    -0.000     0.000
       0.980           8           0.000     0.000     0.000
       0.990           1           0.000    10.000     0.000
       0.990           2          10.000    10.000     0.000
       0.990           3          20.000    10.000     0.000
       0.990           4          30.007     9.036     0.000
       0.990           5          30.000    -0.019     0.000
       0.990           6          19.996    -0.004     0.000
       0.990           7          10.000    -0.000     0.000
       0.990           8           0.000     0.000     0.000
       1.000           1           0.000    10.000     0.000
       1.000           2          10.000    10.000     0.000
       1.000           3          20.000    10.000     0.000
       1.000           4          30.007     9.017     0.000
       1.000           5          30.000    -0.020     0.000
       1.000           6          19.996    -0.004     0.000
       1.000           7          10.000    -0.000     0.000
       1.000           8           0.000     0.000     0.000
